% of Cr,% of Hf,% of Mo,% of Nb,% of Ta,% of Ti,% of Re,% of V,% of W,% of Zr,% of Co,% of Ni,%Fe,% of Al,% of Mn,%Cu,%C,Entropy,bulk Modulus,shear Modulus,Hardness,Valence,Melting Point
0,0,10,10,10,0,0,40,30,0,0,0,0,0,0,0,0,11.79398241,217,90.4,645.4,5.4,2602.3
0,0,20,10,10,0,0,40,20,0,0,0,0,0,0,0,0,12.22903708,209,86.9,556.7,5.4,2522.4
0,0,20,10,20,0,0,40,10,0,0,0,0,0,0,0,0,12.22903708,198,77.7,380.3,5.3,2481.9
0,0,20,20,10,0,0,40,10,0,0,0,0,0,0,0,0,12.22903708,195,74.6,382.3,5.3,2427.9
0,0,20,10,10,0,0,50,10,0,0,0,0,0,0,0,0,11.30137355,194,75.5,315,5.3,2371.2
0,0,20,20,20,0,20,0,20,0,0,0,0,0,0,0,0,13.38167152,256,114.4,1022.7,5.8,2945
0,0,15,20,35,0,10,0,20,0,0,0,0,0,0,0,0,12.68825472,237.5,100.65,761.7,5.55,2947.8
0,0,5,20,40,0,30,0,5,0,0,0,0,0,0,0,0,11.21766518,252,102.95,901.3,5.7,2960.25
0,0,15,15,30,0,15,0,25,0,0,0,0,0,0,0,0,12.98283753,253,112.25,1052,5.7,3003.5
0,0,15,20,30,0,5,0,30,0,0,0,0,0,0,0,0,12.29403485,240,104.4,977.87,5.55,2979.85
0,0,15,15,20,0,35,0,15,0,0,0,0,0,0,0,0,12.82951727,276,124.85,1160.3,6,2996.8
0,0,20,20,10,0,25,0,25,0,0,0,0,0,0,0,0,13.03032522,270,124.45,1182.8,5.95,2973.7
0,0,25,25,10,0,15,0,25,0,0,0,0,0,0,0,0,12.92528334,253,114.85,1098.1,5.8,2910.1
0,0,20,10,30,0,30,0,10,0,0,0,0,0,0,0,0,12.51156218,265,119.2,1115.5,5.9,2975.4
0,0,10,10,35,0,35,0,10,0,0,0,0,0,0,0,0,11.85357536,270.5,118.95,1085.9,5.9,3023.25
0,0,10,5,30,0,25,0,30,0,0,0,0,0,0,0,0,12.04773042,277,128,1210,5.9,3114.35
0,0,5,5,30,0,25,0,35,0,0,0,0,0,0,0,0,11.4305784,281,129.75,1220,5.9,3154.3
0,0,30,30,5,0,25,0,10,0,0,0,0,0,0,0,0,12.04773042,253.5,113.25,1067,5.9,2819.55
0,0,35,30,5,0,25,0,5,0,0,0,0,0,0,0,0,11.4305784,249.5,111.5,1056,5.9,2779.6
0,0,20,0,0,20,20,20,20,0,0,0,0,0,0,0,0,13.38167,236,111.2,1120.247639,5.6,2561.8
0,0,20,0,20,20,20,0,20,0,0,0,0,0,0,0,0,13.38167,244,115.6,1158.634946,5.6,2783.2
20,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,13.38167,168,90.6,926.5781862,5.4,2337.6
0,0,20,0,20,0,20,20,20,0,0,0,0,0,0,0,0,13.38167,254,116.2,1117.534714,5.8,2831.6
20,0,20,0,0,20,20,20,0,0,0,0,0,0,0,0,0,13.38167,174,102,1114.941137,5.6,2258.8
0,0,0,20,20,0,20,20,20,0,0,0,0,0,0,0,0,13.38167,242,98.6,872.080326,5.6,2802.4
0,0,0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,13.38167,230,99.8,944.8501822,5.4,2640.6
20,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,13.38167,190,109,1157.444589,5.6,2418.6
0,0,20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,13.38167,226,91.6,822.8629449,5.6,2642.6
0,0,0,20,20,20,20,0,20,0,0,0,0,0,0,0,0,13.38167,232,98,904.6986096,5.4,2754
0,20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,13.38167,198,83.2,800.8863056,5.2,2437.4
0,0,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,13.38167,214,92.8,896.803321,5.4,2480.8
0,0,20,20,0,20,20,0,20,0,0,0,0,0,0,0,0,13.38167,238,109.4,1076.640248,5.6,2675.2
0,0,20,20,0,20,20,20,0,0,0,0,0,0,0,0,0,13.38167,208,86.6,815.3313677,5.4,2372.8
0,0,0,20,0,20,20,20,20,0,0,0,0,0,0,0,0,13.38167,224,93.6,865.0149156,5.4,2532.6
0,20,20,0,20,0,20,20,0,0,0,0,0,0,0,0,0,13.38167,214,90,847.5173969,5.4,2593.8
20,0,0,0,20,20,20,0,20,0,0,0,0,0,0,0,0,13.38167,198,113.4,1195.991762,5.6,2640
0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,13.38167,216,91,855.872566,5.4,2594.2
20,0,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,13.38167,182,106.4,1154.193158,5.6,2480.2
0,20,0,20,20,0,20,0,20,0,0,0,0,0,0,0,0,13.38167,232,95.2,857.5846185,5.4,2867
20,0,20,0,0,20,20,0,20,0,0,0,0,0,0,0,0,13.38167,204,124.8,1386.010801,5.8,2561.2
20,0,0,20,20,0,20,20,0,0,0,0,0,0,0,0,0,13.38167,180,89.4,846.1074136,5.6,2499.4
0,0,20,20,20,0,20,0,20,0,0,0,0,0,0,0,0,13.38167,256,114.4,1076.164909,5.8,2945
0,20,20,20,0,0,20,20,0,0,0,0,0,0,0,0,0,13.38167,208,83.8,767.3594655,5.4,2485.8
0,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,13.38167,192,71.8,631.9573287,5,2516.2
20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,0,13.38167,202,107.8,1068.156373,5.8,2580.4
0,20,20,20,20,0,20,0,0,0,0,0,0,0,0,0,0,13.38167,216,88.2,807.917986,5.4,2707.2
20,0,0,20,0,20,20,0,20,0,0,0,0,0,0,0,0,13.38167,192,107.2,1111.03831,5.6,2532
20,0,0,0,20,0,20,20,20,0,0,0,0,0,0,0,0,13.38167,208,114,1150.643851,5.8,2688.4
20,0,0,20,0,20,20,20,0,0,0,0,0,0,0,0,0,13.38167,162,84.4,841.6332782,5.4,2229.6
0,20,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,13.38167,190,73.6,669.4195249,5,2402.8
20,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,13.38167,170,88.8,882.8543615,5.4,2451
20,0,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,13.38167,176,100.2,1067.12326,5.6,2372.2
20,0,20,0,0,0,20,20,20,0,0,0,0,0,0,0,0,13.38167,214,125.4,1333.881933,6,2609.6
20,0,20,20,0,0,20,20,0,0,0,0,0,0,0,0,0,13.38167,186,100.8,1022.848472,5.8,2420.6
0,20,0,20,0,20,20,20,0,0,0,0,0,0,0,0,0,13.38167,184,67.4,590.2436131,5,2294.8
20,0,0,20,20,0,20,0,20,0,0,0,0,0,0,0,0,13.38167,210,112.2,1106.854161,5.8,2801.8
0,20,0,20,20,0,20,20,0,0,0,0,0,0,0,0,0,13.38167,202,72.4,605.7379726,5.2,2564.6
0,0,20,20,20,20,0,0,20,0,0,0,0,0,0,0,0,13.38167,204,87.6,851.3776157,5.2,2641.4
20,0,20,20,20,0,20,0,0,0,0,0,0,0,0,0,0,13.38167,194,105.2,1062.305419,5.8,2642
0,0,20,0,20,20,0,20,20,0,0,0,0,0,0,0,0,13.38167,202,89.4,893.8916226,5.2,2528
20,0,20,0,20,0,0,20,20,0,0,0,0,0,0,0,0,13.38167,180,103.6,1110.571507,5.6,2575.8
